***  
*   Special particles used to compose "quasi-particles" such as scalar states that are then built from K-matrix poles
*     
*
***
*MASS(MeV)    ,Err+   ,Err-   ,WIDTH(MeV)  ,Err+   ,Err-   ,I  ,G,J   ,P,C,A,PDG-MC ,Chrg,R,S,Name             ,Quarks         
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       19996,   +, ,R,Z(PT)          ,cC 
**
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       199991,   +, ,R,Z2(S)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       199992,   +, ,R,Z2(P)         ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       199993,   +, ,R,Z2(V)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       199994,   +, ,R,Z2(A)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       199995,   +, ,R,Z2(T)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       199996,   +, ,R,Z2(PT)          ,cC 
**
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       1199991,   +, ,R,Z3(S)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       1199992,   +, ,R,Z3(P)         ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       1199993,   +, ,R,Z3(V)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       1199994,   +, ,R,Z3(A)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       1199995,   +, ,R,Z3(T)          ,cC 
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       1199996,   +, ,R,Z3(PT)          ,cC 
**
**
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       199919,   +, ,R,Zs(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       199929,   +, ,R,Zs(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       199939,   +, ,R,Zs(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       199949,   +, ,R,Zs(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       199959,   +, ,R,Zs(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       199969,   +, ,R,Zs(PT)          ,cC
**
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,+,+, ,       1999919,   +, ,R,Zs2(S)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,0   ,-,+, ,       1999929,   +, ,R,Zs2(P)         ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,-,+, ,       1999939,   +, ,R,Zs2(V)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,1   ,+,+, ,       1999949,   +, ,R,Zs2(A)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,-,+, ,       1999959,   +, ,R,Zs2(T)          ,cC
4.5E+03    ,5.0E-01,5.0E-01,100.0         ,-1     ,-1     ,0  ,?,2   ,+,+, ,       1999969,   +, ,R,Zs2(PT)          ,cC
**
